trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.05, 'e': 0.775}",20,0,-203.52849916705864,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
46,False,"{'a': 0.05, 'e': 0.77}",30,0,-115.28136832878516,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
47,False,"{'a': 0.05, 'e': 0.765}",20,0,-135.1431476827447,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
48,False,"{'a': 0.05, 'e': 0.76}",30,0,-277.2528356389371,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 5}",0
49,False,"{'a': 0.05, 'e': 0.755}",25,0,-161.77234786128156,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
50,False,"{'a': 0.05, 'e': 0.75}",20,0,-148.14008914693972,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
51,False,"{'a': 0.05, 'e': 0.745}",35,0,-130.47896415773386,"{0: 26, 1: 2, 2: 5, 3: 0, 4: 2}",0
52,False,"{'a': 0.05, 'e': 0.74}",20,0,-100.42328221907464,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
53,False,"{'a': 0.05, 'e': 0.735}",20,0,-100.40795054145273,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
54,False,"{'a': 0.05, 'e': 0.73}",30,0,-18.623662565365006,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
55,False,"{'a': 0.05, 'e': 0.725}",20,2,-10.01769387939581,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.05, 'e': 0.72}",30,0,-102.68669374221811,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
57,False,"{'a': 0.05, 'e': 0.715}",20,9,-14.380736271007022,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
58,False,"{'a': 0.05, 'e': 0.71}",20,0,-74.83307990539444,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
59,False,"{'a': 0.05, 'e': 0.7050000000000001}",25,16,5.898863423206317,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.05, 'e': 0.7}",25,0,-132.52352861932857,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
61,False,"{'a': 0.05, 'e': 0.6950000000000001}",20,0,-24.143893651621998,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
62,False,"{'a': 0.05, 'e': 0.69}",35,0,-112.91094255323061,"{0: 23, 1: 5, 2: 5, 3: 0, 4: 2}",0
63,False,"{'a': 0.05, 'e': 0.685}",20,0,-83.33834632366583,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
64,False,"{'a': 0.05, 'e': 0.6799999999999999}",20,0,-0.5709022524867589,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.05, 'e': 0.675}",20,12,9.938668488147393,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.05, 'e': 0.6699999999999999}",20,0,-25.756403459968887,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
67,False,"{'a': 0.05, 'e': 0.665}",20,7,-15.178384560478515,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
68,False,"{'a': 0.05, 'e': 0.6599999999999999}",20,0,-95.28830544961139,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
69,False,"{'a': 0.05, 'e': 0.655}",30,0,-107.83411075484747,"{0: 23, 1: 3, 2: 1, 3: 1, 4: 2}",0
70,False,"{'a': 0.05, 'e': 0.6499999999999999}",30,16,-4.25623304018303,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.05, 'e': 0.645}",35,9,-105.46084185570965,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 2}",1
72,False,"{'a': 0.05, 'e': 0.64}",20,6,-22.08103030650848,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.05, 'e': 0.635}",30,0,-76.2639611314698,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
74,False,"{'a': 0.05, 'e': 0.63}",20,0,-22.513787047539484,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
75,False,"{'a': 0.05, 'e': 0.625}",20,0,-40.15621805091204,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
76,False,"{'a': 0.05, 'e': 0.62}",20,0,-113.092708860163,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
77,False,"{'a': 0.05, 'e': 0.615}",30,0,-156.31495855635205,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 3}",0
