trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.05, 'e': 0.2725317930340126}",30,16,9.42919004265413,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.05, 'e': 0.2698200563846868}",25,16,7.491227968979744,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.05, 'e': 0.26713530196585034}",25,0,-10.05334001372081,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
133,False,"{'a': 0.05, 'e': 0.26447726129982396}",20,0,17.022455054427606,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
134,False,"{'a': 0.05, 'e': 0.261845668580326}",20,0,-31.72378727730962,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
135,False,"{'a': 0.05, 'e': 0.2592402606458915}",25,7,6.393308682127312,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.05, 'e': 0.2566607769535559}",20,0,-8.728512837711554,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
137,False,"{'a': 0.05, 'e': 0.25410695955280027}",25,14,8.73404693047749,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.05, 'e': 0.25157855305975646}",20,8,15.013927303889833,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.05, 'e': 0.24907530463166816}",25,17,13.274147836395526,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.05, 'e': 0.24659696394160643}",25,0,-59.39101553635713,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
141,False,"{'a': 0.05, 'e': 0.2441432831534371}",30,19,-44.387946094729664,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
142,False,"{'a': 0.05, 'e': 0.24171401689703645}",20,2,7.582056670807209,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.05, 'e': 0.23930892224375455}",25,13,22.18845667289366,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.05, 'e': 0.23692775868212176}",20,12,2.005793714619324,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.05, 'e': 0.23457028809379765}",20,8,26.266175811506493,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.05, 'e': 0.23223627472975883}",20,0,6.587865908939525,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
147,False,"{'a': 0.05, 'e': 0.22992548518672384}",20,0,30.835268674944647,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
148,False,"{'a': 0.05, 'e': 0.22763768838381274}",25,12,20.855972998656483,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.05, 'e': 0.22537265553943872}",30,24,9.97977253077645,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.05, 'e': 0.22313016014842982}",25,7,-15.113243724464343,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
